Kod zavodu         : 130601087
Nazev zavodu       : Žebříček B - Čechy, Oblastní žebříček
Zarazeni do soutezi: 
Datum konani       : 01.06.2013
Misto konani       : Bohdalec
Poradatel          : PZR - UNITOP SKP Žďár nad Sázavou
Mapa               : Polák
Reditel zavodu     : Rosecká Alena
Hlavni rozhodci    : Hladílek Jan
Stavitel trati     : Skryja Bořivoj
JURY               : Smutná Jana, Vácha Tomáš, Farář Václav
Protokol           : Závod proběhl bez závad.
----------------------------------------------------------------------------
D12C      Hlaváčová Anežka         TBM0199  25.24
D12C      Staňková Markéta         VPM0153  29.17
D12C      Rydlová Adéla            TJN0151  29.30
D12C      Marešová Klára           NEJ0250  31.29
D12C      Francová Lucie           LPU      40.48
D12C      Starková Terezie         CHT0251  40.53
D12C      Zlesáková Adéla          CHT0151  64.45
D12C      Jelínková Adéla          RUZ0251  65.15
D12C      Lédlová Natálie          PZR0151  68.48
D14B      Chaloupská Barbora       PHK9951  28.06
D14B      Kopecká Anna             LPU9958  29.20
D14B      Waňková Martina          VRL9951  31.10
D14B      Větříčková Andrea        SHK9951  31.21
D14B      Peterová Jana            DOB0051  31.34
D14B      Kalenská Dominika        STH9958  32.00
D14B      Vyhnálková Marie         MFP0151  32.41
D14B      Nechanická Klára         OSN0050  33.22
D14B      Hojná Eliška             SJH0052  33.28
D14B      Aschermannová Karolína   KAM0051  33.50
D14B      Hrabánková Zuzana        PGP9950  33.57
D14B      Šrenkelová Ilona         LPU9955  34.10
D14B      Urbanová Markéta         STH9953  34.15
D14B      Kosová Tereza            SRK0151  34.47
D14B      Vojtíšková Viktorie      LPU0051  34.56
D14B      Dědková Teodora          TAP0051  35.11
D14B      Sieglová Eliška          MFP9950  35.33
D14B      Semrádová Jana           CHC9951  35.34
D14B      Dolejší Kateřina         STB0199  36.16
D14B      Kováříková Marie         KAM0050  36.20
D14B      Sokolářová Šárka         TUV9951  36.25
D14B      Janoušková Lucie         BOR9954  36.43
D14B      Jezdinská Natálie        STH9954  37.12
D14B      Filipová Tereza          SRK0050  37.22
D14B      Kalousková Marie         DKP0151  38.24
D14B      Hápová Petra             PHK0051  38.24
D14B      Šrámková Hana            MFP0051  38.44
D14B      Thýnová Nikola           SHK0051  39.38
D14B      Brožová Zuzana           LPU0053  39.43
D14B      Zrníková Adéla           OSN0099  39.48
D14B      Marešová Alexandra       NEJ9950  40.12
D14B      Kolářová Johana          SLA9950  40.15
D14B      Kubecová Kateřina        STB9999  40.26
D14B      Gallová Veronika         STH0053  40.57
D14B      Biersaková Dagmar        KRL0051  41.39
D14B      Straková Veronika        SLA0051  41.43
D14B      Poloprutská Lucie        VLI9950  41.50
D14B      Voltrová Alena           ROZ9951  42.13
D14B      Šklíbová Veronika        SRK0153  43.11
D14B      Chaloupková Kateřina     CHC0051  43.39
D14B      Čiháková Barbora         KNC9950  44.14
D14B      Albrechtová Iveta        KAM9950  45.25
D14B      Foltýnová Eva            SJI0051  47.09
D14B      Nechutová Aneta          PZR9951  51.19
D14B      Vacková Anna             CHT0051  69.07
D14B      Mašková Michaela         PZR9669 888.88
D16B      Chaloupková Veronika     CHC9852  43.34
D16B      Šimůnková Gabriela       TAP9755  44.36
D16B      Nováková Lucie           BOR9854  46.32
D16B      Kavalírová Julie         PHK9753  46.40
D16B      Peňázová Veronika        SJH9752  47.06
D16B      Slavíková Silvie         PGP9751  47.32
D16B      Kameníková Andrea        BOR9751  48.11
D16B      Poloprutská Klára        VLI9750  49.52
D16B      Mikešová Adéla           VPM9852  53.28
D16B      Hojná Dominika           SJH9852  53.33
D16B      Parkanová Veronika       SJH9751  53.43
D16B      Poláková Tereza          TAP9853  54.00
D16B      Kohoutová Barbora        BOR9850  55.52
D16B      Kroupová Eliška          VPM9853  58.57
D16B      Poláková Kateřina        TAP9854  59.26
D16B      Dundáčková Julie         SJH9853  59.52
D16B      Nejezchlebová Barbora    TUR9755  61.31
D16B      Petráčková Kristýna      SJI9851  62.27
D16B      Obytová Kateřina         VPM9752  63.22
D16B      Kohlová Monika           TUR9756  64.25
D16B      Šafrhansová Lucie        VPM9753  65.07
D16B      Repiská Amálie           MFP9851  69.01
D16B      Hlinovská Johana         VPM9751  69.24
D16B      Zimmerová Kateřina       ZVO9852  72.51
D16B      Štefanyuková Eliška      CST9851  74.33
D16B      Hájková Eliška           ZVO9851  74.55
D16B      Švíková Klára            SJI9855  79.54
D16B      Dvořáková Klára          CHT9852  89.04
D18B      Cych Weronika            35P9652  57.17
D18B      Hornik Aleksandra        35P9651  70.01
D18B      Vališová Martina         OSN9696  70.08
